"125,90","0,0","13,10","46,36","71,54","80,61","85,64","91,68","101,74","113,82","121,87"
"136,-199","0,0","26,-35","64,-87","86,-122","98,-140","108,-155","118,-169","124,-179","130,-187","132,-191"
"-51,118","0,0","-7,9","-17,26","-27,44","-33,61","-39,77","-43,89","-45,97","-46,104","-48,109"
"161,96","0,0","78,57","107,81","124,97","158,125","174,135","179,131","178,123","173,115","165,103"
"-196,-56","0,0","-41,-19","-100,-43","-126,-54","-144,-61","-164,-67","-176,-71","-184,-72","-188,-70","-191,-65"
"-94,28","0,0","-11,2","-26,4","-42,9","-57,13","-67,16","-77,20","-84,22","-88,24","-92,26"
"159,-1","0,0","26,-3","67,-4","97,-4","111,-4","119,-4","126,-4","134,-4","143,-3","150,-3"
"126,-200","0,0","43,-68","72,-124","86,-153","98,-176","107,-190","110,-194","113,-201","117,-206","122,-204"
"-89,190","0,0","-30,41","-48,78","-59,102","-67,126","-76,150","-81,166","-86,177","-88,185","-89,190"
"-194,-70","0,0","-51,-2","-102,-13","-128,-23","-150,-37","-162,-44","-169,-48","-179,-55","-188,-63","-192,-66"
"58,-139","0,0","14,-25","34,-62","43,-85","46,-94","49,-101","52,-108","54,-116","55,-123","56,-129"
"-152,104","0,0","-29,9","-69,25","-99,44","-116,61","-127,72","-134,80","-138,86","-143,90","-146,96"
"61,-32","0,0","13,-8","27,-18","37,-24","43,-27","45,-28","47,-29","49,-30","51,-31","54,-32"
"162,65","0,0","38,15","84,31","116,44","134,53","144,57","150,59","154,61","156,62","159,63"
"143,158","0,0","50,68","114,143","140,167","146,174","149,177","149,172","147,166","146,161","143,158"
"-204,-115","0,0","-50,-34","-103,-80","-130,-105","-144,-114","-155,-120","-164,-123","-178,-125","-190,-123","-200,-119"
"-56,-185","0,0","-2,-6","-12,-37","-35,-92","-47,-130","-53,-154","-54,-168","-54,-175","-54,-179","-54,-183"
"-161,15","0,0","-42,4","-88,10","-111,15","-123,18","-132,19","-140,19","-148,19","-154,19","-158,18"
"164,64","0,0","30,8","53,16","68,22","92,31","108,37","118,41","131,47","143,53","151,58"
"-10,-75","0,0","-2,-17","-5,-39","-6,-50","-7,-56","-7,-60","-8,-63","-10,-66","-10,-70","-10,-75"
"186,105","0,0","38,31","95,78","109,89","118,93","141,103","153,107","163,107","174,109","181,108"
"168,180","0,0","34,23","56,44","76,66","98,87","117,109","135,130","146,147","153,158","162,171"
